"No.","Time","Source","Destination","Protocol","Length","Info"
"6","15:00:16.475139","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2f47, seq=3/768, ttl=64 (reply in 8)"
"10","15:00:16.569861","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2f48, seq=1/256, ttl=64 (no response found!)"
"31","15:00:17.555525","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2f49, seq=1/256, ttl=64 (reply in 33)"
"52","15:00:18.549381","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2f4a, seq=1/256, ttl=64 (reply in 54)"
"78","15:00:19.552454","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2f4b, seq=1/256, ttl=64 (no response found!)"
"108","15:00:21.573443","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2f4d, seq=1/256, ttl=64 (no response found!)"
"115","15:00:22.573446","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2f4e, seq=1/256, ttl=64 (reply in 117)"
"133","15:00:23.561669","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2f4f, seq=1/256, ttl=64 (reply in 135)"
"141","15:00:24.576003","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2f50, seq=1/256, ttl=64 (reply in 143)"
"152","15:00:25.543749","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2f51, seq=1/256, ttl=64 (reply in 154)"
"166","15:00:26.572931","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2f52, seq=1/256, ttl=64 (reply in 168)"
"181","15:00:27.555525","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2f53, seq=1/256, ttl=64 (no response found!)"
"190","15:00:28.555525","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2f54, seq=1/256, ttl=64 (reply in 192)"
"212","15:00:29.554498","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2f55, seq=1/256, ttl=64 (no response found!)"
"244","15:00:31.564228","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2f55, seq=3/768, ttl=64 (reply in 246)"
"257","15:00:32.658949","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2f57, seq=1/256, ttl=64 (no response found!)"
"265","15:00:32.664069","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2f57, seq=1/256, ttl=64 (no response found!)"
"279","15:00:32.677894","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2f57, seq=1/256, ttl=64 (no response found!)"
"356","15:00:32.830467","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2f57, seq=1/256, ttl=64 (no response found!)"
"357","15:00:32.854019","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2f57, seq=1/256, ttl=64 (no response found!)"
"366","15:00:32.914947","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2f57, seq=1/256, ttl=64 (no response found!)"
"370","15:00:32.929284","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2f57, seq=1/256, ttl=64 (no response found!)"
"371","15:00:32.940036","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2f57, seq=1/256, ttl=64 (no response found!)"
"372","15:00:32.945667","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2f57, seq=1/256, ttl=64 (no response found!)"
"377","15:00:32.978948","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2f57, seq=1/256, ttl=64 (no response found!)"
"378","15:00:32.986117","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2f57, seq=1/256, ttl=64 (no response found!)"
